INSERT INTO MECZE VALUES ('1', '1', '12', '1', '5', to_date('22.6.2013', 'dd/mm/yyyy'), '1');
INSERT INTO MECZE VALUES ('23', '10', '11', '3', '4', to_date('1.7.2013', 'dd/mm/yyyy'), '3');
INSERT INTO MECZE VALUES ('24', '15', '16', '3', '5', to_date('1.7.2013', 'dd/mm/yyyy'), '3');
INSERT INTO MECZE VALUES ('25', '1', '5', '5', '3', to_date('8.7.2013', 'dd/mm/yyyy'), '4');
INSERT INTO MECZE VALUES ('26', '2', '11', '1', '2', to_date('8.7.2013', 'dd/mm/yyyy'), '4');
INSERT INTO MECZE VALUES ('27', '3', '15', '5', '5', to_date('8.7.2013', 'dd/mm/yyyy'), '4');
INSERT INTO MECZE VALUES ('28', '4', '9', '2', '0', to_date('8.7.2013', 'dd/mm/yyyy'), '4');
INSERT INTO MECZE VALUES ('29', '6', '14', '0', '1', to_date('8.7.2013', 'dd/mm/yyyy'), '4');
INSERT INTO MECZE VALUES ('30', '7', '10', '1', '1', to_date('8.7.2013', 'dd/mm/yyyy'), '4');
INSERT INTO MECZE VALUES ('31', '8', '13', '3', '3', to_date('8.7.2013', 'dd/mm/yyyy'), '4');
INSERT INTO MECZE VALUES ('32', '12', '16', '5', '4', to_date('8.7.2013', 'dd/mm/yyyy'), '4');
INSERT INTO MECZE VALUES ('33', '1', '8', '0', '5', to_date('15.7.2013', 'dd/mm/yyyy'), '5');
INSERT INTO MECZE VALUES ('34', '2', '5', '3', '1', to_date('15.7.2013', 'dd/mm/yyyy'), '5');
INSERT INTO MECZE VALUES ('35', '3', '14', '4', '2', to_date('15.7.2013', 'dd/mm/yyyy'), '5');
INSERT INTO MECZE VALUES ('36', '4', '10', '5', '5', to_date('15.7.2013', 'dd/mm/yyyy'), '5');
INSERT INTO MECZE VALUES ('37', '6', '11', '2', '0', to_date('15.7.2013', 'dd/mm/yyyy'), '5');
INSERT INTO MECZE VALUES ('38', '7', '13', '1', '5', to_date('15.7.2013', 'dd/mm/yyyy'), '5');
INSERT INTO MECZE VALUES ('39', '9', '12', '4', '2', to_date('15.7.2013', 'dd/mm/yyyy'), '5');
INSERT INTO MECZE VALUES ('40', '15', '16', '0', '2', to_date('15.7.2013', 'dd/mm/yyyy'), '5');
INSERT INTO MECZE VALUES ('41', '1', '10', '4', '1', to_date('22.7.2013', 'dd/mm/yyyy'), '6');
INSERT INTO MECZE VALUES ('42', '2', '16', '3', '1', to_date('22.7.2013', 'dd/mm/yyyy'), '6');
INSERT INTO MECZE VALUES ('43', '3', '4', '5', '2', to_date('22.7.2013', 'dd/mm/yyyy'), '6');
INSERT INTO MECZE VALUES ('44', '5', '11', '4', '3', to_date('22.7.2013', 'dd/mm/yyyy'), '6');
INSERT INTO MECZE VALUES ('45', '6', '7', '0', '0', to_date('22.7.2013', 'dd/mm/yyyy'), '6');
INSERT INTO MECZE VALUES ('46', '8', '12', '1', '4', to_date('22.7.2013', 'dd/mm/yyyy'), '6');
INSERT INTO MECZE VALUES ('47', '9', '15', '2', '4', to_date('22.7.2013', 'dd/mm/yyyy'), '6');
INSERT INTO MECZE VALUES ('48', '13', '14', '2', '5', to_date('22.7.2013', 'dd/mm/yyyy'), '6');
INSERT INTO MECZE VALUES ('49', '1', '7', '1', '2', to_date('29.7.2013', 'dd/mm/yyyy'), '7');
INSERT INTO MECZE VALUES ('50', '2', '13', '3', '1', to_date('29.7.2013', 'dd/mm/yyyy'), '7');
INSERT INTO MECZE VALUES ('51', '3', '11', '4', '3', to_date('29.7.2013', 'dd/mm/yyyy'), '7');
INSERT INTO MECZE VALUES ('52', '4', '5', '3', '3', to_date('29.7.2013', 'dd/mm/yyyy'), '7');
INSERT INTO MECZE VALUES ('53', '6', '10', '0', '5', to_date('29.7.2013', 'dd/mm/yyyy'), '7');
INSERT INTO MECZE VALUES ('54', '8', '15', '1', '0', to_date('29.7.2013', 'dd/mm/yyyy'), '7');
INSERT INTO MECZE VALUES ('55', '9', '14', '2', '5', to_date('29.7.2013', 'dd/mm/yyyy'), '7');
INSERT INTO MECZE VALUES ('56', '12', '16', '0', '2', to_date('29.7.2013', 'dd/mm/yyyy'), '7');
INSERT INTO MECZE VALUES ('57', '1', '2', '1', '0', to_date('1.8.2013', 'dd/mm/yyyy'), '8');
INSERT INTO MECZE VALUES ('58', '3', '12', '5', '4', to_date('1.8.2013', 'dd/mm/yyyy'), '8');
INSERT INTO MECZE VALUES ('59', '4', '13', '4', '0', to_date('1.8.2013', 'dd/mm/yyyy'), '8');
INSERT INTO MECZE VALUES ('60', '5', '6', '3', '3', to_date('1.8.2013', 'dd/mm/yyyy'), '8');
INSERT INTO MECZE VALUES ('61', '7', '11', '2', '2', to_date('1.8.2013', 'dd/mm/yyyy'), '8');
INSERT INTO MECZE VALUES ('62', '8', '14', '5', '2', to_date('1.8.2013', 'dd/mm/yyyy'), '8');
INSERT INTO MECZE VALUES ('63', '9', '10', '2', '3', to_date('1.8.2013', 'dd/mm/yyyy'), '8');
INSERT INTO MECZE VALUES ('64', '15', '16', '4', '2', to_date('1.8.2013', 'dd/mm/yyyy'), '8');
INSERT INTO MECZE VALUES ('65', '1', '16', '5', '3', to_date('8.8.2013', 'dd/mm/yyyy'), '9');
INSERT INTO MECZE VALUES ('66', '2', '11', '3', '4', to_date('8.8.2013', 'dd/mm/yyyy'), '9');
INSERT INTO MECZE VALUES ('67', '3', '5', '5', '2', to_date('8.8.2013', 'dd/mm/yyyy'), '9');
INSERT INTO MECZE VALUES ('68', '4', '7', '0', '0', to_date('8.8.2013', 'dd/mm/yyyy'), '9');
INSERT INTO MECZE VALUES ('69', '6', '15', '1', '4', to_date('8.8.2013', 'dd/mm/yyyy'), '9');
INSERT INTO MECZE VALUES ('70', '8', '12', '2', '2', to_date('8.8.2013', 'dd/mm/yyyy'), '9');
INSERT INTO MECZE VALUES ('71', '9', '13', '1', '2', to_date('8.8.2013', 'dd/mm/yyyy'), '9');
INSERT INTO MECZE VALUES ('72', '10', '14', '0', '5', to_date('8.8.2013', 'dd/mm/yyyy'), '9');
INSERT INTO MECZE VALUES ('73', '1', '8', '1', '5', to_date('15.8.2013', 'dd/mm/yyyy'), '10');
INSERT INTO MECZE VALUES ('74', '2', '10', '5', '5', to_date('15.8.2013', 'dd/mm/yyyy'), '10');
INSERT INTO MECZE VALUES ('75', '3', '5', '2', '5', to_date('15.8.2013', 'dd/mm/yyyy'), '10');
INSERT INTO MECZE VALUES ('76', '4', '12', '1', '2', to_date('15.8.2013', 'dd/mm/yyyy'), '10');
INSERT INTO MECZE VALUES ('77', '6', '11', '3', '5', to_date('15.8.2013', 'dd/mm/yyyy'), '10');
INSERT INTO MECZE VALUES ('78', '7', '9', '2', '3', to_date('15.8.2013', 'dd/mm/yyyy'), '10');
INSERT INTO MECZE VALUES ('79', '13', '14', '5', '5', to_date('15.8.2013', 'dd/mm/yyyy'), '10');
INSERT INTO MECZE VALUES ('80', '15', '16', '0', '3', to_date('15.8.2013', 'dd/mm/yyyy'), '10');
INSERT INTO MECZE VALUES ('81', '1', '11', '2', '3', to_date('22.8.2013', 'dd/mm/yyyy'), '11');
INSERT INTO MECZE VALUES ('82', '2', '4', '0', '5', to_date('22.8.2013', 'dd/mm/yyyy'), '11');
INSERT INTO MECZE VALUES ('83', '3', '12', '5', '5', to_date('22.8.2013', 'dd/mm/yyyy'), '11');
INSERT INTO MECZE VALUES ('84', '5', '7', '1', '5', to_date('22.8.2013', 'dd/mm/yyyy'), '11');
INSERT INTO MECZE VALUES ('85', '6', '14', '5', '1', to_date('22.8.2013', 'dd/mm/yyyy'), '11');
INSERT INTO MECZE VALUES ('86', '8', '10', '0', '1', to_date('22.8.2013', 'dd/mm/yyyy'), '11');
INSERT INTO MECZE VALUES ('87', '9', '15', '5', '0', to_date('22.8.2013', 'dd/mm/yyyy'), '11');
INSERT INTO MECZE VALUES ('88', '13', '16', '4', '2', to_date('22.8.2013', 'dd/mm/yyyy'), '11');
INSERT INTO MECZE VALUES ('89', '1', '14', '3', '0', to_date('29.8.2013', 'dd/mm/yyyy'), '12');
INSERT INTO MECZE VALUES ('90', '2', '3', '0', '2', to_date('29.8.2013', 'dd/mm/yyyy'), '12');
INSERT INTO MECZE VALUES ('91', '4', '10', '3', '2', to_date('29.8.2013', 'dd/mm/yyyy'), '12');
INSERT INTO MECZE VALUES ('92', '5', '6', '2', '4', to_date('29.8.2013', 'dd/mm/yyyy'), '12');
INSERT INTO MECZE VALUES ('93', '7', '13', '1', '0', to_date('29.8.2013', 'dd/mm/yyyy'), '12');
INSERT INTO MECZE VALUES ('94', '8', '12', '3', '0', to_date('29.8.2013', 'dd/mm/yyyy'), '12');
INSERT INTO MECZE VALUES ('95', '9', '11', '1', '1', to_date('29.8.2013', 'dd/mm/yyyy'), '12');
INSERT INTO MECZE VALUES ('96', '15', '16', '4', '0', to_date('29.8.2013', 'dd/mm/yyyy'), '12');
INSERT INTO MECZE VALUES ('97', '1', '11', '4', '4', to_date('1.9.2013', 'dd/mm/yyyy'), '13');
INSERT INTO MECZE VALUES ('98', '2', '12', '0', '2', to_date('1.9.2013', 'dd/mm/yyyy'), '13');
INSERT INTO MECZE VALUES ('99', '3', '13', '4', '3', to_date('1.9.2013', 'dd/mm/yyyy'), '13');
INSERT INTO MECZE VALUES ('100', '4', '8', '5', '5', to_date('1.9.2013', 'dd/mm/yyyy'), '13');
INSERT INTO MECZE VALUES ('101', '5', '9', '4', '5', to_date('1.9.2013', 'dd/mm/yyyy'), '13');
INSERT INTO MECZE VALUES ('102', '6', '7', '3', '5', to_date('1.9.2013', 'dd/mm/yyyy'), '13');
INSERT INTO MECZE VALUES ('103', '10', '14', '1', '3', to_date('1.9.2013', 'dd/mm/yyyy'), '13');
INSERT INTO MECZE VALUES ('104', '15', '16', '4', '1', to_date('1.9.2013', 'dd/mm/yyyy'), '13');
INSERT INTO MECZE VALUES ('105', '1', '10', '1', '3', to_date('8.9.2013', 'dd/mm/yyyy'), '14');
INSERT INTO MECZE VALUES ('106', '2', '9', '5', '1', to_date('8.9.2013', 'dd/mm/yyyy'), '14');
INSERT INTO MECZE VALUES ('107', '3', '7', '2', '4', to_date('8.9.2013', 'dd/mm/yyyy'), '14');
INSERT INTO MECZE VALUES ('108', '4', '13', '2', '4', to_date('8.9.2013', 'dd/mm/yyyy'), '14');
INSERT INTO MECZE VALUES ('109', '5', '6', '1', '3', to_date('8.9.2013', 'dd/mm/yyyy'), '14');
INSERT INTO MECZE VALUES ('110', '8', '12', '2', '4', to_date('8.9.2013', 'dd/mm/yyyy'), '14');
INSERT INTO MECZE VALUES ('111', '11', '15', '3', '1', to_date('8.9.2013', 'dd/mm/yyyy'), '14');
INSERT INTO MECZE VALUES ('112', '14', '16', '1', '5', to_date('8.9.2013', 'dd/mm/yyyy'), '14');
INSERT INTO MECZE VALUES ('113', '1', '9', '4', '1', to_date('15.9.2013', 'dd/mm/yyyy'), '15');
INSERT INTO MECZE VALUES ('114', '2', '15', '0', '1', to_date('15.9.2013', 'dd/mm/yyyy'), '15');
INSERT INTO MECZE VALUES ('115', '3', '10', '3', '5', to_date('15.9.2013', 'dd/mm/yyyy'), '15');
INSERT INTO MECZE VALUES ('116', '4', '5', '5', '4', to_date('15.9.2013', 'dd/mm/yyyy'), '15');
INSERT INTO MECZE VALUES ('117', '6', '13', '0', '0', to_date('15.9.2013', 'dd/mm/yyyy'), '15');
INSERT INTO MECZE VALUES ('118', '7', '12', '2', '3', to_date('15.9.2013', 'dd/mm/yyyy'), '15');
INSERT INTO MECZE VALUES ('119', '8', '16', '1', '3', to_date('15.9.2013', 'dd/mm/yyyy'), '15');
INSERT INTO MECZE VALUES ('120', '11', '14', '3', '2', to_date('15.9.2013', 'dd/mm/yyyy'), '15');
INSERT INTO MECZE VALUES ('121', '12', '1', '1', '1', to_date('22.9.2013', 'dd/mm/yyyy'), '16');
INSERT INTO MECZE VALUES ('122', '13', '2', '2', '2', to_date('22.9.2013', 'dd/mm/yyyy'), '16');
INSERT INTO MECZE VALUES ('123', '16', '3', '2', '1', to_date('22.9.2013', 'dd/mm/yyyy'), '16');
INSERT INTO MECZE VALUES ('124', '6', '4', '3', '1', to_date('22.9.2013', 'dd/mm/yyyy'), '16');
INSERT INTO MECZE VALUES ('125', '10', '5', '4', '2', to_date('22.9.2013', 'dd/mm/yyyy'), '16');
INSERT INTO MECZE VALUES ('126', '14', '7', '1', '5', to_date('22.9.2013', 'dd/mm/yyyy'), '16');
INSERT INTO MECZE VALUES ('127', '9', '8', '2', '3', to_date('22.9.2013', 'dd/mm/yyyy'), '16');
INSERT INTO MECZE VALUES ('128', '15', '11', '2', '2', to_date('22.9.2013', 'dd/mm/yyyy'), '16');
INSERT INTO MECZE VALUES ('129', '9', '1', '3', '1', to_date('29.9.2013', 'dd/mm/yyyy'), '17');
INSERT INTO MECZE VALUES ('130', '13', '2', '5', '2', to_date('29.9.2013', 'dd/mm/yyyy'), '17');
INSERT INTO MECZE VALUES ('131', '8', '3', '5', '5', to_date('29.9.2013', 'dd/mm/yyyy'), '17');
INSERT INTO MECZE VALUES ('132', '15', '4', '0', '3', to_date('29.9.2013', 'dd/mm/yyyy'), '17');
INSERT INTO MECZE VALUES ('133', '16', '5', '3', '1', to_date('29.9.2013', 'dd/mm/yyyy'), '17');
INSERT INTO MECZE VALUES ('134', '12', '6', '3', '0', to_date('29.9.2013', 'dd/mm/yyyy'), '17');
INSERT INTO MECZE VALUES ('135', '11', '7', '0', '4', to_date('29.9.2013', 'dd/mm/yyyy'), '17');
INSERT INTO MECZE VALUES ('136', '14', '10', '2', '1', to_date('29.9.2013', 'dd/mm/yyyy'), '17');
INSERT INTO MECZE VALUES ('137', '7', '1', '2', '1', to_date('1.10.2013', 'dd/mm/yyyy'), '18');
INSERT INTO MECZE VALUES ('138', '12', '2', '4', '5', to_date('1.10.2013', 'dd/mm/yyyy'), '18');
INSERT INTO MECZE VALUES ('139', '14', '3', '5', '5', to_date('1.10.2013', 'dd/mm/yyyy'), '18');
INSERT INTO MECZE VALUES ('140', '5', '4', '4', '3', to_date('1.10.2013', 'dd/mm/yyyy'), '18');
INSERT INTO MECZE VALUES ('141', '8', '6', '3', '1', to_date('1.10.2013', 'dd/mm/yyyy'), '18');
INSERT INTO MECZE VALUES ('142', '13', '9', '0', '2', to_date('1.10.2013', 'dd/mm/yyyy'), '18');
INSERT INTO MECZE VALUES ('143', '11', '10', '0', '2', to_date('1.10.2013', 'dd/mm/yyyy'), '18');
INSERT INTO MECZE VALUES ('144', '16', '15', '1', '0', to_date('1.10.2013', 'dd/mm/yyyy'), '18');
INSERT INTO MECZE VALUES ('145', '5', '1', '2', '2', to_date('8.10.2013', 'dd/mm/yyyy'), '19');
INSERT INTO MECZE VALUES ('146', '11', '2', '4', '5', to_date('8.10.2013', 'dd/mm/yyyy'), '19');
INSERT INTO MECZE VALUES ('147', '15', '3', '4', '1', to_date('8.10.2013', 'dd/mm/yyyy'), '19');
INSERT INTO MECZE VALUES ('148', '9', '4', '3', '1', to_date('8.10.2013', 'dd/mm/yyyy'), '19');
INSERT INTO MECZE VALUES ('149', '14', '6', '3', '3', to_date('8.10.2013', 'dd/mm/yyyy'), '19');
INSERT INTO MECZE VALUES ('150', '10', '7', '3', '0', to_date('8.10.2013', 'dd/mm/yyyy'), '19');
INSERT INTO MECZE VALUES ('151', '13', '8', '0', '3', to_date('8.10.2013', 'dd/mm/yyyy'), '19');
INSERT INTO MECZE VALUES ('152', '16', '12', '5', '2', to_date('8.10.2013', 'dd/mm/yyyy'), '19');
INSERT INTO MECZE VALUES ('153', '8', '1', '4', '3', to_date('15.10.2013', 'dd/mm/yyyy'), '20');
INSERT INTO MECZE VALUES ('154', '5', '2', '3', '3', to_date('15.10.2013', 'dd/mm/yyyy'), '20');
INSERT INTO MECZE VALUES ('155', '14', '3', '1', '5', to_date('15.10.2013', 'dd/mm/yyyy'), '20');
INSERT INTO MECZE VALUES ('156', '10', '4', '5', '2', to_date('15.10.2013', 'dd/mm/yyyy'), '20');
INSERT INTO MECZE VALUES ('157', '11', '6', '5', '4', to_date('15.10.2013', 'dd/mm/yyyy'), '20');
INSERT INTO MECZE VALUES ('158', '13', '7', '4', '4', to_date('15.10.2013', 'dd/mm/yyyy'), '20');
INSERT INTO MECZE VALUES ('159', '12', '9', '3', '3', to_date('15.10.2013', 'dd/mm/yyyy'), '20');
INSERT INTO MECZE VALUES ('160', '16', '15', '4', '3', to_date('15.10.2013', 'dd/mm/yyyy'), '20');
INSERT INTO MECZE VALUES ('161', '10', '1', '4', '0', to_date('22.10.2013', 'dd/mm/yyyy'), '21');
INSERT INTO MECZE VALUES ('162', '16', '2', '0', '4', to_date('22.10.2013', 'dd/mm/yyyy'), '21');
INSERT INTO MECZE VALUES ('163', '4', '3', '4', '3', to_date('22.10.2013', 'dd/mm/yyyy'), '21');
INSERT INTO MECZE VALUES ('164', '11', '5', '5', '0', to_date('22.10.2013', 'dd/mm/yyyy'), '21');
INSERT INTO MECZE VALUES ('165', '7', '6', '3', '4', to_date('22.10.2013', 'dd/mm/yyyy'), '21');
INSERT INTO MECZE VALUES ('166', '12', '8', '5', '5', to_date('22.10.2013', 'dd/mm/yyyy'), '21');
INSERT INTO MECZE VALUES ('167', '15', '9', '5', '3', to_date('22.10.2013', 'dd/mm/yyyy'), '21');
INSERT INTO MECZE VALUES ('168', '14', '13', '5', '5', to_date('22.10.2013', 'dd/mm/yyyy'), '21');
INSERT INTO MECZE VALUES ('169', '7', '1', '3', '5', to_date('29.10.2013', 'dd/mm/yyyy'), '22');
INSERT INTO MECZE VALUES ('170', '13', '2', '3', '4', to_date('29.10.2013', 'dd/mm/yyyy'), '22');
INSERT INTO MECZE VALUES ('171', '11', '3', '1', '3', to_date('29.10.2013', 'dd/mm/yyyy'), '22');
INSERT INTO MECZE VALUES ('172', '5', '4', '2', '3', to_date('29.10.2013', 'dd/mm/yyyy'), '22');
INSERT INTO MECZE VALUES ('173', '10', '6', '5', '5', to_date('29.10.2013', 'dd/mm/yyyy'), '22');
INSERT INTO MECZE VALUES ('174', '15', '8', '4', '5', to_date('29.10.2013', 'dd/mm/yyyy'), '22');
INSERT INTO MECZE VALUES ('175', '14', '9', '0', '2', to_date('29.10.2013', 'dd/mm/yyyy'), '22');
INSERT INTO MECZE VALUES ('176', '16', '12', '5', '3', to_date('29.10.2013', 'dd/mm/yyyy'), '22');
INSERT INTO MECZE VALUES ('177', '2', '1', '2', '1', to_date('1.11.2013', 'dd/mm/yyyy'), '23');
INSERT INTO MECZE VALUES ('178', '12', '3', '0', '1', to_date('1.11.2013', 'dd/mm/yyyy'), '23');
INSERT INTO MECZE VALUES ('179', '13', '4', '5', '1', to_date('1.11.2013', 'dd/mm/yyyy'), '23');
INSERT INTO MECZE VALUES ('180', '6', '5', '2', '2', to_date('1.11.2013', 'dd/mm/yyyy'), '23');
INSERT INTO MECZE VALUES ('181', '11', '7', '1', '4', to_date('1.11.2013', 'dd/mm/yyyy'), '23');
INSERT INTO MECZE VALUES ('182', '14', '8', '3', '2', to_date('1.11.2013', 'dd/mm/yyyy'), '23');
INSERT INTO MECZE VALUES ('183', '10', '9', '1', '2', to_date('1.11.2013', 'dd/mm/yyyy'), '23');
INSERT INTO MECZE VALUES ('184', '16', '15', '4', '5', to_date('1.11.2013', 'dd/mm/yyyy'), '23');
INSERT INTO MECZE VALUES ('185', '16', '1', '5', '2', to_date('8.11.2013', 'dd/mm/yyyy'), '24');
INSERT INTO MECZE VALUES ('186', '11', '2', '3', '2', to_date('8.11.2013', 'dd/mm/yyyy'), '24');
INSERT INTO MECZE VALUES ('187', '5', '3', '1', '1', to_date('8.11.2013', 'dd/mm/yyyy'), '24');
INSERT INTO MECZE VALUES ('188', '7', '4', '4', '3', to_date('8.11.2013', 'dd/mm/yyyy'), '24');
INSERT INTO MECZE VALUES ('189', '15', '6', '4', '1', to_date('8.11.2013', 'dd/mm/yyyy'), '24');
INSERT INTO MECZE VALUES ('190', '12', '8', '4', '3', to_date('8.11.2013', 'dd/mm/yyyy'), '24');
INSERT INTO MECZE VALUES ('191', '13', '9', '4', '1', to_date('8.11.2013', 'dd/mm/yyyy'), '24');
INSERT INTO MECZE VALUES ('192', '14', '10', '1', '1', to_date('8.11.2013', 'dd/mm/yyyy'), '24');
INSERT INTO MECZE VALUES ('193', '8', '1', '5', '0', to_date('15.11.2013', 'dd/mm/yyyy'), '25');
INSERT INTO MECZE VALUES ('194', '10', '2', '5', '1', to_date('15.11.2013', 'dd/mm/yyyy'), '25');
INSERT INTO MECZE VALUES ('195', '5', '3', '5', '3', to_date('15.11.2013', 'dd/mm/yyyy'), '25');
INSERT INTO MECZE VALUES ('196', '12', '4', '0', '5', to_date('15.11.2013', 'dd/mm/yyyy'), '25');
INSERT INTO MECZE VALUES ('197', '11', '6', '2', '4', to_date('15.11.2013', 'dd/mm/yyyy'), '25');
INSERT INTO MECZE VALUES ('198', '9', '7', '5', '0', to_date('15.11.2013', 'dd/mm/yyyy'), '25');
INSERT INTO MECZE VALUES ('199', '14', '13', '0', '5', to_date('15.11.2013', 'dd/mm/yyyy'), '25');
INSERT INTO MECZE VALUES ('200', '16', '15', '0', '3', to_date('15.11.2013', 'dd/mm/yyyy'), '25');
INSERT INTO MECZE VALUES ('201', '11', '1', '4', '3', to_date('22.11.2013', 'dd/mm/yyyy'), '26');
INSERT INTO MECZE VALUES ('202', '4', '2', '2', '2', to_date('22.11.2013', 'dd/mm/yyyy'), '26');
INSERT INTO MECZE VALUES ('203', '12', '3', '0', '5', to_date('22.11.2013', 'dd/mm/yyyy'), '26');
INSERT INTO MECZE VALUES ('204', '7', '5', '0', '2', to_date('22.11.2013', 'dd/mm/yyyy'), '26');
INSERT INTO MECZE VALUES ('205', '14', '6', '0', '4', to_date('22.11.2013', 'dd/mm/yyyy'), '26');
INSERT INTO MECZE VALUES ('206', '10', '8', '1', '3', to_date('22.11.2013', 'dd/mm/yyyy'), '26');
INSERT INTO MECZE VALUES ('207', '15', '9', '1', '5', to_date('22.11.2013', 'dd/mm/yyyy'), '26');
INSERT INTO MECZE VALUES ('208', '16', '13', '3', '2', to_date('22.11.2013', 'dd/mm/yyyy'), '26');
INSERT INTO MECZE VALUES ('209', '14', '1', '3', '2', to_date('29.11.2013', 'dd/mm/yyyy'), '27');
INSERT INTO MECZE VALUES ('210', '3', '2', '3', '1', to_date('29.11.2013', 'dd/mm/yyyy'), '27');
INSERT INTO MECZE VALUES ('211', '10', '4', '4', '2', to_date('29.11.2013', 'dd/mm/yyyy'), '27');
INSERT INTO MECZE VALUES ('212', '6', '5', '0', '0', to_date('29.11.2013', 'dd/mm/yyyy'), '27');
INSERT INTO MECZE VALUES ('213', '13', '7', '0', '5', to_date('29.11.2013', 'dd/mm/yyyy'), '27');
INSERT INTO MECZE VALUES ('214', '12', '8', '2', '5', to_date('29.11.2013', 'dd/mm/yyyy'), '27');
INSERT INTO MECZE VALUES ('215', '11', '9', '2', '5', to_date('29.11.2013', 'dd/mm/yyyy'), '27');
INSERT INTO MECZE VALUES ('216', '16', '15', '4', '3', to_date('29.11.2013', 'dd/mm/yyyy'), '27');
INSERT INTO MECZE VALUES ('217', '11', '1', '2', '4', to_date('1.12.2013', 'dd/mm/yyyy'), '28');
INSERT INTO MECZE VALUES ('218', '12', '2', '0', '5', to_date('1.12.2013', 'dd/mm/yyyy'), '28');
INSERT INTO MECZE VALUES ('219', '13', '3', '5', '5', to_date('1.12.2013', 'dd/mm/yyyy'), '28');
INSERT INTO MECZE VALUES ('220', '8', '4', '2', '2', to_date('1.12.2013', 'dd/mm/yyyy'), '28');
INSERT INTO MECZE VALUES ('221', '9', '5', '3', '4', to_date('1.12.2013', 'dd/mm/yyyy'), '28');
INSERT INTO MECZE VALUES ('222', '7', '6', '3', '3', to_date('1.12.2013', 'dd/mm/yyyy'), '28');
INSERT INTO MECZE VALUES ('223', '14', '10', '3', '5', to_date('1.12.2013', 'dd/mm/yyyy'), '28');
INSERT INTO MECZE VALUES ('224', '16', '15', '1', '2', to_date('1.12.2013', 'dd/mm/yyyy'), '28');
INSERT INTO MECZE VALUES ('225', '10', '1', '1', '5', to_date('8.12.2013', 'dd/mm/yyyy'), '29');
INSERT INTO MECZE VALUES ('226', '9', '2', '2', '5', to_date('8.12.2013', 'dd/mm/yyyy'), '29');
INSERT INTO MECZE VALUES ('227', '7', '3', '3', '4', to_date('8.12.2013', 'dd/mm/yyyy'), '29');
INSERT INTO MECZE VALUES ('228', '13', '4', '1', '2', to_date('8.12.2013', 'dd/mm/yyyy'), '29');
INSERT INTO MECZE VALUES ('229', '6', '5', '3', '1', to_date('8.12.2013', 'dd/mm/yyyy'), '29');
INSERT INTO MECZE VALUES ('230', '12', '8', '1', '2', to_date('8.12.2013', 'dd/mm/yyyy'), '29');
INSERT INTO MECZE VALUES ('231', '15', '11', '4', '0', to_date('8.12.2013', 'dd/mm/yyyy'), '29');
INSERT INTO MECZE VALUES ('232', '16', '14', '1', '1', to_date('8.12.2013', 'dd/mm/yyyy'), '29');
